Title,Year,Genre,Rating,Director
The Shawshank Redemption,1994,Drama,9.3,Frank Darabont
The Godfather,1972,Crime,9.2,Francis Ford Coppola
The Dark Knight,2008,Action,9.0,Christopher Nolan
Pulp Fiction,1994,Crime,8.9,Quentin Tarantino
Schindler's List,1993,Biography,8.9,Steven Spielberg
Inception,2010,Action,8.8,Christopher Nolan
Fight Club,1999,Drama,8.8,David Fincher
Forrest Gump,1994,Drama,8.8,Robert Zemeckis
The Matrix,1999,Action,8.7,Lana Wachowski
Goodfellas,1990,Biography,8.7,Martin Scorsese
